央视高清,#genre#
CCTV1,http://ott.mobaibox.com/PLTV/3/224/3221228149/index.m3u8
CCTV2,http://ott.mobaibox.com/PLTV/3/224/3221228094/index.m3u8
CCTV3,http://ott.mobaibox.com/PLTV/3/224/3221228126/index.m3u8
CCTV4,http://ott.mobaibox.com/PLTV/3/224/3221228091/index.m3u8
CCTV5,http://ott.mobaibox.com/PLTV/3/224/3221228179/index.m3u8
CCTV6,http://ott.mobaibox.com/PLTV/3/224/3221228123/index.m3u8
CCTV7,http://ott.mobaibox.com/PLTV/3/224/3221227690/index.m3u8
CCTV8,http://ott.mobaibox.com/PLTV/3/224/3221228194/index.m3u8
CCTV9,http://ott.mobaibox.com/PLTV/3/224/3221227614/index.m3u8
CCTV10,http://ott.mobaibox.com/PLTV/3/224/3221227620/index.m3u8
CCTV11,http://ott.mobaibox.com/PLTV/3/224/3221227524/index.m3u8
CCTV12,http://ott.mobaibox.com/PLTV/3/224/3221227637/index.m3u8
CCTV13,http://ott.mobaibox.com/PLTV/3/224/3221227387/index.m3u8
CCTV14,http://ott.mobaibox.com/PLTV/3/224/3221227693/index.m3u8
CCTV15,http://ott.mobaibox.com/PLTV/3/224/3221227538/index.m3u8
CCTV16,http://ott.mobaibox.com/PLTV/3/224/3221228314/index.m3u8
CCTV17,http://ott.mobaibox.com/PLTV/3/224/3221227578/index.m3u8
CCTV5+,http://ott.mobaibox.com/PLTV/3/224/3221227502/index.m3u8
CCTV4K,http://ott.mobaibox.com/PLTV/3/224/3221228228/index.m3u8
CCTV8K,http://ott.mobaibox.com/PLTV/3/224/3221228165/index.m3u8
CETV1,http://ott.mobaibox.com/PLTV/3/224/3221227560/index.m3u8#http://49.77.200.3:5555/rtp/239.49.8.115:8000
CETV2,http://ott.mobaibox.com/PLTV/3/224/3221227607/index.m3u8
CETV3,http://ott.mobaibox.com/PLTV/3/224/3221227018/index.m3u8
CETV4,http://ott.mobaibox.com/PLTV/3/224/3221227657/index.m3u8
卫视频道,#genre#
凤凰中文,http://ott.mobaibox.com/PLTV/3/224/3221228527/index.m3u8
凤凰资讯,http://ott.mobaibox.com/PLTV/3/224/3221228524/index.m3u8
凤凰香港,http://ott.mobaibox.com/PLTV/3/224/3221228530/index.m3u8
北京卫视,http://ott.mobaibox.com/PLTV/3/224/3221228115/index.m3u8
江苏卫视,http://ott.mobaibox.com/PLTV/3/224/3221228097/index.m3u8
东方卫视,http://ott.mobaibox.com/PLTV/3/224/3221228150/index.m3u8
安徽卫视,http://ott.mobaibox.com/PLTV/3/224/3221227558/index.m3u8
浙江卫视,http://ott.mobaibox.com/PLTV/3/224/3221227491/index.m3u8
广东卫视,http://ott.mobaibox.com/PLTV/3/224/3221227476/index.m3u8
广西卫视,http://ott.mobaibox.com/PLTV/3/224/3221228183/index.m3u8
湖南卫视,http://ott.mobaibox.com/PLTV/3/224/3221227482/index.m3u8
湖北卫视,http://ott.mobaibox.com/PLTV/3/224/3221227479/index.m3u8
山东卫视,http://ott.mobaibox.com/PLTV/3/224/3221227517/index.m3u8
天津卫视,http://ott.mobaibox.com/PLTV/3/224/3221227488/index.m3u8
重庆卫视,http://ott.mobaibox.com/PLTV/3/224/3221227550/index.m3u8
深圳卫视,http://ott.mobaibox.com/PLTV/3/224/3221227555/index.m3u8
江西卫视,http://ott.mobaibox.com/PLTV/3/224/3221225536/index.m3u8
黑龙江卫视,http://ott.mobaibox.com/PLTV/3/224/3221227514/index.m3u8
吉林卫视,http://ott.mobaibox.com/PLTV/3/224/3221228130/index.m3u8
